,키워드,품사,textrank
0,교육,NNG,64.56391949769964
1,대학,NNG,64.3683104652164
2,지역,NNG,29.772669769849397
3,교수,NNG,29.104056209224908
4,이번,NNG,28.58408627360198
5,학생,NNG,28.30795753053375
6,사업,NNG,25.263222737140886
7,협력,NNG,24.287884097256324
8,개발,NNG,22.82742647126297
9,지원,NNG,22.17268667484762
10,강원,NNG,19.7004402776713
11,프로그램,NNG,19.166549002530875
12,센터,NNG,19.146268213998315
13,연구,NNG,18.704869335440414
14,과학,NNG,18.19448339210435
15,국제,NNG,17.27611055799551
16,진행,NNG,16.964926014789807
17,과정,NNG,16.961568132125358
18,대학교,NNG,16.795033591940737
19,운영,NNG,16.46961290537595
20,참여,NNG,15.778111472864284
21,사회,NNG,13.506089529222393
22,코로나,NNP,13.052480926132773
23,앞,NNG,12.373147821302124
24,행사,NNG,11.977949865979598
25,전공,NNG,11.891158443477243
26,양성,NNG,11.301504886472502
27,학과,NNG,10.732368608507947
28,농업,NNG,10.637968259815734
29,캠퍼스,NNG,10.449701681190783
