,키워드,품사,textrank
0,대학,NNG,76.56803978078702
1,학생,NNG,49.489322757977114
2,학우,NNG,37.66199399776324
3,진행,NNG,29.21155952934405
4,학기,NNG,25.200317267651407
5,신청,NNG,23.62388024479075
6,수업,NNG,18.59525437408689
7,평가,NNG,17.900915223942143
8,학교,NNG,17.138271383137333
9,수강,NNG,17.02259713046695
10,전공,NNG,15.953977601342437
11,교수,NNG,15.348088267736609
12,학과,NNG,15.338429693488788
13,강의,NNG,15.06719240893925
14,교육,NNG,14.672799384419495
15,경우,NNG,13.55987641826086
16,말,NNG,13.011211463781144
17,지원,NNG,12.803313804594648
18,이번,NNG,12.226479116639451
19,장학금,NNG,12.019630719673092
20,운영,NNG,11.996042831554227
21,위원회,NNG,11.949367309144556
22,문제,NNG,11.658582551589163
23,기자,NNG,11.463010504803105
24,가능,NNG,10.781299380428033
25,문,NNG,10.26607423636743
26,팀,NNG,10.086696877831386
27,회장,NNG,9.724340745144664
28,사진,NNG,9.590700405308176
29,고,NNG,9.543360692682922
