,키워드,품사,textrank
0,경북,NNP,54.51413249249624
1,연구,NNG,51.76489455858346
2,대학,NNG,43.535815554361356
3,기술,NNG,31.491527185059553
4,사업,NNG,28.808271187674688
5,교수,NNG,27.963745848395767
6,지역,NNG,23.241308220827314
7,개발,NNG,22.53231141892205
8,지원,NNG,21.739102388944605
9,학생,NNG,20.508337893389626
10,분야,NNG,19.1039008618491
11,이번,NNG,18.706335602015038
12,교육,NNG,17.529719567740802
13,팀,NNG,15.18054964360769
14,선정,NNG,14.13077513432714
15,산업,NNG,13.942556656678084
16,대학교,NNG,12.792428561555356
17,과정,NNG,12.526016813867402
18,혁신,NNG,12.166718552457512
19,소재,NNG,11.89960077973595
20,우수,NNG,11.6955968748356
21,논문,NNG,11.395393456804706
22,과학,NNG,11.147753050102313
23,기업,NNG,10.731116248533052
24,대구,NNP,10.702862689746386
25,센터,NNG,10.386972450270711
26,한국,NNP,10.292528115816294
27,수상,NNG,9.966206446059848
28,에너지,NNG,9.762706592509158
29,대회,NNG,9.33024346582424
