,키워드,품사,textrank
0,대학,NNG,36.321409420948534
1,세계,NNG,32.752641497034
2,교수,NNG,31.432223361364418
3,협력,NNG,24.64738605543187
4,연구,NNG,24.365762886906083
5,교육,NNG,23.698352946931006
6,미래,NNG,22.317021566980788
7,사회,NNG,22.2992508845019
8,국제,NNG,21.469630502949943
9,경희,NNG,20.96414608530712
10,평화,NNG,20.29825533684241
11,경희대,NNP,19.182339775845374
12,학생,NNG,18.99250242993293
13,기후,NNG,17.022575496271696
14,지구,NNG,16.80029485835544
15,변화,NNG,15.787405533627277
16,가능,NNG,15.086222532995288
17,사업,NNG,14.451914839784186
18,인류,NNG,14.234219873035611
19,개발,NNG,14.032401844003793
20,말,NNG,13.873165086097595
21,문제,NNG,11.82281171229117
22,지속,NNG,11.457566667338284
23,한국,NNP,10.97293131629186
24,기관,NNG,10.763944487535058
25,진행,NNG,10.722488194176437
26,시민,NNG,10.289396451524933
27,위기,NNG,9.585234079250407
28,지역,NNG,9.459300774269987
29,발전,NNG,9.369489295195816
