,키워드,품사,textrank
0,부산대,NNP,59.851723986342186
1,연구,NNG,55.99756142254334
2,교수,NNG,52.15915385140716
3,대학,NNG,49.80494497134036
4,기술,NNG,48.02849005908157
5,학생,NNG,42.257698939337985
6,사업,NNG,36.06249141650399
7,교육,NNG,32.159656510324204
8,지원,NNG,31.153657143068244
9,지역,NNG,28.193982921571173
10,팀,NNG,25.709406942337914
11,부산,NNP,25.229652040955614
12,분야,NNG,25.168933041277363
13,개발,NNG,24.112838015474
14,선정,NNG,23.756076141175168
15,공학,NNG,23.58886384906109
16,우수,NNG,23.40556904719619
17,수상,NNG,21.658845045886814
18,한국,NNP,21.35089859008051
19,학번,NNG,20.688645113111892
20,이번,NNG,20.519486085410072
21,과정,NNG,20.073041960461428
22,산업,NNG,19.934066654993863
23,대회,NNG,19.148035278983794
24,개최,NNG,18.96962781600421
25,과학,NNG,17.634562866342428
26,센터,NNG,16.972092659434637
27,창업,NNG,16.956438971735306
28,사회,NNG,15.859184390958998
29,발전,NNG,15.77785745028849
