,키워드,품사,textrank
0,학생,NNG,11.903931381617033
1,세종,NNP,11.487117437318544
2,지원,NNG,8.918982089098495
3,해군,NNG,8.385173243956746
4,진행,NNG,8.22235808257266
5,동아리,NNG,7.838721819322
6,교육,NNG,6.878392265725966
7,이번,NNG,6.579522134976898
8,홍보,NNG,6.369821216827593
9,행사,NNG,5.093393136462811
10,준비,NNG,4.952148599537909
11,교수,NNG,4.628933027610167
12,국방,NNG,4.60713463875608
13,대학교,NNG,4.269457198222121
14,모집,NNG,4.096795917238497
15,연구,NNG,3.9131986652876862
16,사이버,NNG,3.7558089243480652
17,종대,NNG,3.737038701555517
18,학과,NNG,3.6389519706264193
19,활동,NNG,3.575502042713678
20,시스템,NNG,3.4689948093079415
21,대학,NNG,3.4593585294281697
22,참여,NNG,3.2287414069274902
23,공연,NNG,3.1821134708350813
24,로스쿨,NNP,3.1709634193529537
25,내용,NNG,3.1699171123155403
26,말,NNG,3.1587195841873346
27,선발,NNG,3.156860729901045
28,반,NNG,3.1010647197776553
29,사진,NNG,2.9777749747596065
