,키워드,품사,textrank
0,서울,NNP,10.267257694138546
1,시립,NNG,8.410488906336317
2,학생,NNG,7.563530844048883
3,연구,NNG,7.171315101080034
4,대학교,NNG,6.433667462482437
5,화학,NNG,6.136164434948761
6,기술,NNG,5.9446906607277965
7,환경,NNG,5.861390028421193
8,물질,NNG,4.980473975994694
9,산업,NNG,4.8435085637437885
10,대학,NNG,4.602915999429516
11,개발,NNG,4.438133510179391
12,공학,NNG,4.23496626457271
13,활동,NNG,4.1210589242642
14,분야,NNG,4.091024424905057
15,팀,NNG,3.9474899346512955
16,선정,NNG,3.839623948375591
17,디자인,NNG,3.8172705886576095
18,교육,NNG,3.7464306760506565
19,국제,NNG,3.645608549042517
20,캠퍼스,NNG,3.5851180899598103
21,안전,NNG,3.449636089510719
22,지원,NNG,3.3788807500624216
23,수상,NNG,3.1011339877194675
24,물,NNG,3.0804885787039185
25,개최,NNG,3.012040824166447
26,원,NNG,2.99719246493815
27,데이터,NNG,2.9516852087922323
28,동물,NNG,2.8958791527762724
29,양성,NNG,2.6509630963556132
