,키워드,품사,textrank
0,대학,NNG,28.832134138662205
1,협력,NNG,27.12245845158379
2,학교,NNG,17.430077321046728
3,연구,NNG,16.06834392975314
4,산학,NNG,15.174232992260816
5,기술,NNG,15.060789278693045
6,사업,NNG,14.146960111549657
7,학생,NNG,13.799688585648301
8,교수,NNG,11.963540580336138
9,총장,NNG,11.734321960693768
10,분야,NNG,11.716501282432732
11,교육,NNG,10.857567283757213
12,기업,NNG,10.177815812457853
13,이번,NNG,8.905456648518804
14,개발,NNG,8.522473063211915
15,산업,NNG,7.475616166460081
16,진행,NNG,7.110477669762066
17,지원,NNG,7.057637838749687
18,우수,NNG,6.986355912828182
19,센터,NNG,6.941826741067753
20,사회,NNG,6.804684754637209
21,대표,NNG,6.382895292873633
22,대학원,NNG,6.03940769640448
23,참여,NNG,5.978992539432264
24,박형주,NNP,5.897583437070571
25,교류,NNG,5.860578252256408
26,협약,NNG,5.694304161698626
27,국제,NNG,5.592369296960647
28,글로벌,NNG,5.496277416619947
29,행사,NNG,5.45004374558123
