,키워드,품사,textrank
0,연구,NNG,35.1665152431795
1,교수,NNG,31.260022473736253
2,병원,NNG,21.40271436562021
3,환자,NNG,20.95761876550545
4,의료,NNG,19.26524058444974
5,대학,NNG,16.922572197161326
6,치료,NNG,14.102537773708098
7,행복,NNG,13.975290180149585
8,교육,NNG,13.525352222167314
9,세브,NNP,13.259441070693061
10,란스,NNP,13.140958654067981
11,진행,NNG,12.933963300676695
12,사회,NNG,11.919249761812027
13,개발,NNG,11.520186660698275
14,팀,NNG,10.581183982331575
15,수술,NNG,9.968934956208683
16,디자인,NNG,9.42609673681038
17,질환,NNG,9.262421171410654
18,센터,NNG,9.241172009654402
19,사업,NNG,9.03413636523352
20,분야,NNG,8.921392095107578
21,행사,NNG,8.901198368344899
22,이번,NNG,8.748003209738144
23,의대,NNG,8.47995774106045
24,의학,NNG,8.183902906306754
25,환경,NNG,7.830693187581932
26,학생,NNG,7.810029237399878
27,평가,NNG,7.808329208722346
28,국제,NNG,7.438759963893989
29,기술,NNG,7.36411635603233
