,키워드,품사,textrank
0,대학,NNG,81.67961105889873
1,학생,NNG,65.71409592450294
2,한국,NNP,39.80958986508119
3,외대,NNG,34.72206212371369
4,교육,NNG,33.17273493415825
5,진행,NNG,32.31745188804895
6,지원,NNG,27.667450773373215
7,이번,NNG,26.04629137102663
8,캠퍼스,NNG,24.510662501469042
9,취업,NNG,23.585977898182517
10,행사,NNG,23.300445541686514
11,교수,NNG,23.008648240611933
12,서울,NNP,22.811642115491868
13,사업,NNG,21.63201755618388
14,센터,NNG,20.910312185252796
15,동문,NNG,20.495392801957127
16,회장,NNG,19.142891351013105
17,글로벌,NNG,19.1008465310622
18,개최,NNG,18.794756945217046
19,문화,NNG,18.602229614069
20,총장,NNG,17.97023578287698
21,학교,NNG,17.816171191256423
22,팀,NNG,17.252813353108607
23,프로그램,NNG,16.999210943918026
24,세계,NNG,16.839961615827885
25,국제,NNG,15.769322872812207
26,외국어,NNG,15.736558745248027
27,진로,NNG,15.5035439916403
28,기업,NNG,14.399648320081146
29,해외,NNG,13.26064881788033
