,키워드,품사,textrank
0,연구,NNG,41.99707431077317
1,교수,NNG,25.150827403132418
2,본교,NNG,14.551554527196412
3,기후,NNG,12.706887293411555
4,환경,NNG,12.09747619437352
5,과학,NNG,11.56991951859392
6,개발,NNG,11.31026361781546
7,교육,NNG,10.975425103489423
8,대학,NNG,10.801711320316597
9,분야,NNG,10.170628952905627
10,진행,NNG,10.058131813314649
11,팀,NNG,10.032815113249953
12,한국,NNP,9.394727425375697
13,공학,NNG,8.583819994771504
14,변화,NNG,8.529761395957442
15,수상,NNG,8.526379842622848
16,이번,NNG,8.415827145445936
17,전공,NNG,8.383097281064279
18,지원,NNG,8.157147853622794
19,사회,NNG,8.080344285942783
20,선정,NNG,7.945632703984405
21,개최,NNG,7.593139680245092
22,세계,NNG,7.51748392680485
23,기술,NNG,7.486086168281489
24,센터,NNG,7.367191703535715
25,화학,NNG,7.16739079303758
26,국제,NNG,7.0659202263636764
27,사업,NNG,6.83905616133008
28,에너지,NNG,6.614786663313899
29,참여,NNG,6.610667995043081
