,키워드,품사,textrank
0,대학,NNG,33.87469690092602
1,지역,NNG,23.776188810216535
2,전남,NNP,22.30180432370546
3,협력,NNG,18.11957365453874
4,남대,NNG,14.980617727876954
5,사업,NNG,13.511352854737535
6,대학교,NNG,13.29439310585288
7,총장,NNG,11.743763935920319
8,광주,NNP,10.568064311178492
9,혁신,NNG,7.827622520420658
10,교육,NNG,7.490810284092549
11,교수,NNG,7.237811073364821
12,공동,NNG,6.576604419714525
13,기관,NNG,6.412275233586664
14,교류,NNG,6.1843618081332545
15,사회,NNG,6.126731844432213
16,연구,NNG,5.976627520007985
17,지원,NNG,5.876725364837372
18,센터,NNG,5.771029991930784
19,참여,NNG,5.303184836470774
20,발전,NNG,5.259135161368173
21,한국,NNP,5.18022643328318
22,분야,NNG,5.022274838618436
23,산업,NNG,5.020172813720475
24,국제,NNG,4.923465885931755
25,운영,NNG,4.766545927325592
26,포럼,NNG,4.574168610339227
27,개발,NNG,4.5725858722911195
28,협의회,NNG,4.541634527555639
29,학생,NNG,4.0920930003734775
