,키워드,품사,textrank
0,대학,NNG,27.7658254575505
1,협력,NNG,20.259764614951827
2,사업,NNG,17.92621385919489
3,연구,NNG,17.36999999432742
4,전북,NNP,16.542103389721305
5,교수,NNG,15.064042089591313
6,지역,NNG,14.113494964123923
7,개발,NNG,11.138377210084634
8,학생,NNG,9.599417465819704
9,분야,NNG,9.380867296084164
10,지원,NNG,9.357606581431497
11,국제,NNG,9.32566844312663
12,기술,NNG,9.051347633847085
13,교류,NNG,8.951300698935553
14,기관,NNG,8.123680429632921
15,교육,NNG,8.051992070402207
16,사회,NNG,7.60849803108788
17,이번,NNG,7.077561051375648
18,대학교,NNG,6.932495718752242
19,북대,NNG,6.503099929593073
20,참여,NNG,6.439966850373585
21,총장,NNG,6.407515916287668
22,공동,NNG,6.340002167422369
23,센터,NNG,5.630358422600323
24,한국,NNP,5.549518128217124
25,구축,NNG,5.407959400763585
26,세계,NNG,5.376195942467249
27,평가,NNG,5.244816175853156
28,혁신,NNG,4.991275208784947
29,공공,NNG,4.844075458446325
