,키워드,품사,textrank
0,제주,NNP,36.7848959382537
1,대학,NNG,23.981580758799694
2,교육,NNG,18.98466657485558
3,연구,NNG,18.080983409419066
4,대학교,NNG,11.948207040398957
5,센터,NNG,11.693361909483373
6,학생,NNG,9.581893025496639
7,지원,NNG,9.461282061499102
8,사회,NNG,8.941595549285845
9,지역,NNG,8.799620120285145
10,교수,NNG,8.226661322119762
11,진행,NNG,7.518516691506356
12,사업,NNG,6.772417508455593
13,인권,NNG,6.705709303006561
14,이번,NNG,6.358704896272858
15,학술,NNG,6.11712233460532
16,대회,NNG,6.04094749139098
17,공동,NNG,5.83683109635272
18,운영,NNG,5.361241447298035
19,주대,NNG,5.301451890546847
20,주제,NNG,5.248953333371017
21,과학,NNG,5.131611050265476
22,연구소,NNG,4.999869906132141
23,팀,NNG,4.845665513548458
24,프로그램,NNG,4.727055009442132
25,한국,NNP,4.687352215576727
26,참여,NNG,4.449702665591909
27,행사,NNG,4.356894654123562
28,역사,NNG,4.251414757296588
29,자치,NNG,4.245840016929964
