,키워드,품사,textrank
0,지역,NNG,25.70029518523693
1,대학,NNG,20.379700155787
2,충남,NNP,17.239752907903277
3,협력,NNG,15.74572600067031
4,혁신,NNG,10.48048894343309
5,교육,NNG,10.461439185896815
6,기관,NNG,10.232626080922602
7,업,NNG,8.908729922274603
8,기술,NNG,7.371215342087384
9,이번,NNG,7.2757054081189
10,연구,NNG,7.147171479978227
11,개발,NNG,6.453554268465866
12,개최,NNG,6.3369295293228545
13,대표,NNG,6.245671561491982
14,발전,NNG,6.136093664566765
15,대전,NNP,5.806916484309965
16,한국,NNP,5.800426329342614
17,공동,NNG,5.7101768533444215
18,협약,NNG,5.676645395081502
19,지원,NNG,5.658235442384831
20,양성,NNG,5.6285999346156075
21,기반,NNG,5.5906586026334635
22,산업,NNG,5.443367508401021
23,총장,NNG,5.434819805162873
24,참여,NNG,5.4217864592745935
25,교수,NNG,5.117920486618141
26,구축,NNG,4.987890990995794
27,센터,NNG,4.981091197422617
28,대,NNG,4.777879271700661
29,국제,NNG,4.760753141087056
