,키워드,품사,textrank
0,충북,NNP,25.47935502233393
1,경찰,NNG,17.630742998236414
2,지역,NNG,13.502871099892754
3,의원,NNG,12.44720300527127
4,의회,NNG,12.374426699759058
5,사업,NNG,11.083666607948594
6,청소년,NNG,10.7710396119735
7,위원회,NNG,10.609791256668037
8,일보,NNG,10.534308638464063
9,선거,NNG,9.596703052702152
10,행정,NNG,8.997063798619708
11,말,NNG,8.779260664797057
12,자치,NNG,8.529064767172637
13,시민,NNG,7.914153059022925
14,주민,NNG,7.863028301813899
15,적극,NNG,7.533381240152192
16,활동,NNG,7.3919803233501185
17,세종,NNP,7.315825572425628
18,위원장,NNG,7.168481100918562
19,국민,NNG,7.127269292596037
20,후보,NNG,6.9951185361908825
21,청주,NNP,6.906992467038515
22,기자,NNG,6.751133240435851
23,교육,NNG,6.704906096796404
24,지방,NNG,6.59868036999207
25,지원,NNG,6.46346317013913
26,예산,NNG,6.2570824899778055
27,공약,NNG,6.220343323777764
28,운영,NNG,6.159265841792052
29,정책,NNG,6.055647418340423
