,키워드,품사,textrank
0,교수,NNG,23.40681958121777
1,한양대,NNP,13.97343568379327
2,키워드,NNP,13.039255734396463
3,한양,NNP,12.384135387076464
4,대학교,NNG,11.636778003587459
5,기사,NNG,10.769030572309651
6,학생,NNG,10.159532257432836
7,진행,NNG,8.552598625756124
8,한국,NNP,8.313629887211125
9,관련,NNG,7.785291797018741
10,연구,NNG,7.7648840641033745
11,총학생회,NNG,7.596192516348259
12,한양,NNG,7.4227933539154165
13,사회,NNG,6.4924790907761185
14,한국어,NNG,6.409767140805086
15,개최,NNG,6.370657516115648
16,대학,NNG,6.296758869779681
17,회장,NNG,6.098254411831114
18,대학원,NNG,6.0416527774494035
19,이번,NNG,6.01002671362704
20,위키,NNP,5.988908978601372
21,문화원,NNG,5.926322574556447
22,전문,NNG,5.860732605573844
23,법학,NNG,5.500601482218856
24,문화,NNG,5.3712366452288975
25,개선,NNG,5.284494686526897
26,학회,NNG,5.153858072765917
27,정책,NNG,5.024497531378331
28,교육,NNG,4.861476933349176
29,주제,NNG,4.825319557722066
